Novosphingobium	roseae		51:1415*	orthographically incorrect name	(Takeuchi et al. 1995) Takeuchi et al. 2001		1		784526	778917
Novosphingobium	stygiae		51:1415*	orthographically incorrect name	(Balkwill et al. 1997) Takeuchi et al. 2001		1		784527	778918
Novosphingobium	subterraneae		51:1415*	orthographically incorrect name	(Balkwill et al. 1997) Takeuchi et al. 2001		1		784528	778920
Oceanomonas			51:71*	orthographically incorrect name	Brown et al. 2001				516198	516193
Oceanomonas	baumannii		51:71*	orthographically incorrect name	Brown et al. 2001		1		784532	778929
Oceanomonas	doudoroffii		51:71*	orthographically incorrect name	(Baumann et al. 1972) Brown et al. 2001		1		784533	778930
Paenibacillus	durum		44:824*; 47:569*	orthographically incorrect name	(Smith and Cato 1974) Collins et al. 1994	nom. corrig. IJSB 48:1073*	1		784553	779063
Pasteurella	bettii		40:151*	orthographically incorrect name	Sneath and Stevens 1990		2		784578	784579
Pasteurella	gallicida		30:340 (AL)	species (AL), rejected name, homotypic syn.	(Burrill 1883) Buchanan 1925	rejected name IJSB 35:538*	2	NCTC 10322, DSM 16031	784582	779182
Pasteurella	mairi		40:152*	orthographically incorrect name	Sneath and Stevens 1990		2, t		784588	779181
Pectobacterium	cacticidum		49:1	orthographically incorrect name	Hauben et al. 1999		1, p		784603	784602
Pelczaria			44:182	gen. nov. (VL), rejected name	Poston 1994	incertae sedis 10			516278	
Pelczaria	aurantia		44:182	sp. nov. (VL), rejected name	Poston 1994		1	ATCC 49321, DSM 12801	779237	779237
Pelotomaculum	isophthalicum		56:2026*	orthographically incorrect name	Qiu et al. 2006		1		785514	785477
Pelotomaculum	terephthalicum		56:2026*	orthographically incorrect name	Qiu et al. 2006		1		785513	785511
Pirella			34:494*	gen. nov. (VP), illegitimate name	Schlesner and Hirsch 1984				516340	516341
Pirella	marina		37:179	sp. nov. (VL), illegitimate name	Schlesner 1987		1	DSM 3645, IFAM 1313	779636	774093
Pirella	staleyi		34:495:*	sp. nov. (VP), illegitimate name	Schlesner and Hirsch 1984		1	ATCC 27377, DSM 940	779637	779640
Prevotella	oulora		40:207*	orthographically incorrect name	(Shah et al. 1985) Shah and Collins 1990		1		784679	784680
Propionibacterium	propionicus		38:354*	orthographically incorrect name	(Buchanan and Pine 1962) Charfreitag et al. 1988		2		784696	794764
Pseudomonas	straminae		30:354 (AL)	orthographically incorrect name	Iizuka and Komagata 1963		1		784737	780133
Quadricoccus			52:227*	gen. nov. (VP), illegitimate name	Maszenan et al. 2002				517322	517469
Quadricoccus	australiensis		52:227*	sp. nov. (VP), illegitimate name, homotypic syn.	Maszenan et al. 2002		1	Ben 117, CIP 107055, NCIMB 13738	784753	785694
Ralstonia	mannitolytica		51:556*	orthographically incorrect name	De Baere et al. 2001		2		784755	780316
Reichenbachia			53:82*	gen. nov. (VP), illegitimate name	Nedashkovskaya et al. 2003				517324	517325
Reichenbachia	agariperforans		53:84*	sp. nov. (VP), illegitimate name	Nedashkovskaya et al. 2003		1	IFO 16625, JCM 11238, KMM 3525	784758	784759
Rhizomonas			40:186*	gen. nov. (VP), rejected name	van Bruggen et al. 1990	illegitimate genus name, later homonym of a protozoan genus <I>Rhizomonas</I>			516468	518520
Rhizomonas	suberifaciens		40:186*	sp. nov. (VP), illegitimate name, homotypic syn.	van Bruggen et al. 1990	illegitimate genus name, later homonym of a protozoan genus <I>Rhizomonas</I>, and should not be used	1, p	ATCC 49355, CA1, DSM 7465, NCPPB 3629	780389	791687
Roseomonas	rosea		59:1197*	comb. nov. (VP), illegitimate name	(Kämpfer et al. 2003) Sánchez-Porro et al. 2009	illegitimate name according to rule Rule 12b	1	173/96, CIP 107419, DSM 14916	787887	
Ruegeria	gelatinovora		49:2	orthographically incorrect name	(ex Ahrens 1968) Uchino et al. 1999		1		784831	782446
Saccharothrix	aerocolonigenes	staurosporeus	46:1189	orthographically incorrect name	Takahashi et al. 1996	nom. corrig. IJSB 48:1073*	1		784844	777489
Salipiger	mucescens		54:1739*	orthographically incorrect name	Martínez-Cánovas et al. 2004	The specific epithet <I>mucescens</I> has been corrected to <I>mucosus</I> in the Notification List (IJSEM 55, 3-5 (2005)).	1		780741	780742
